article number,article name ,Product Code1,Product Code2,Commodity Group Number,Commodity Group Name,Sector Number,Sector Name,Assortment Number,Assortment Name,Product Cost,Last Purchase Price,Product Retail Price
699013000352,RON BOTRAN ANEJO 750ML,9901300035,,18,TEQUILA,1,Tax,5,Slow Seller - Old,0.00,0.00,
086003001502,ROBERT MONDAVI MERLOT 1.5L,08600300150,436030,12,WINE,1,Tax,4,No Sales >4 months,0.00,12.00,17.99
089540521138,MALIBU ORANGE FLOAT 50ML,8954052113,924493,9,50ML,1,Tax,4,No Sales >4 months,0.00,0.60,0.99
088004144678,FIREBALL 1L,08800414467,088004144678,10,WHISKEY,1,Tax,1,General Assortment,0.00,14.54,19.99
9421019370385,ACE BLANC 750ML,,,14,CHAMPAGNE,1,Tax,5,Slow Seller - Old,0.00,0.00,449.00
097485200780,HIGHLAND PARK 1986,1382617,9748520078,16,SCOTCH,1,Tax,4,No Sales >4 months,0.00,118.81,
9421019370386,WOLF CIGAR CUTTERS,,,56,GENERAL MERCHANDISE,1,Tax,5,Slow Seller - Old,0.00,0.00,1.85
085763003284,MESSINA HOFF CAB FISHER HOUSE 750ML,35121396,512139,12,WINE,1,Tax,4,No Sales >4 months,0.00,2.00,
085904196608,MOGEN DAVID BLACKBERRY 3L,08590419660,728419,12,WINE,1,Tax,1,General Assortment,0.00,11.00,14.99
9421019370338,VOLI LYTE 750ML,,,8,VODKA,1,Tax,4,No Sales >4 months,0.00,0.00,19.99
112980,EVE MENTHOL EMERALD SLIM 120S,,,37,CIGARETTES,1,Tax,4,No Sales >4 months,0.00,0.00,5.49
70137000198,GOLD & MILD CIGARS 5 PK,,,33,CIGARS,1,Tax,4,No Sales >4 months,0.00,0.00,
070491270022,MASTER OF MIXES LITE MARG 1.75L,07049127002,070491270022,5,MIXERS,1,Tax,1,General Assortment,0.00,4.49,6.99
857010,CARLO ROSSI RHINE 1.5L,0-85000-00701-3,106691,12,WINE,1,Tax,1,General Assortment,0.00,6.00,6.99
897291000297,FIREFLY SOUTHERN LEMONADE 4PK,9729100029,,20,RTD,1,Tax,1,General Assortment,0.00,1.00,0.00
082000759638,SMIRNOFF KISSED CARAMEL 1.75L,0-82000-75963-8,10075813,8,VODKA,1,Tax,1,General Assortment,0.00,15.00,19.99
811538015707,THREE OLIVES LOOPY 1.75L,039626,1153801570,8,VODKA,1,Tax,1,General Assortment,0.00,20.62,25.99
080480015305,BACARDI SUPERIOR 1L,0-80480-01530-5,00520348,15,RUM,1,Tax,1,General Assortment,0.00,15.00,19.99
12000813320,PEPSI SKINNY 16OZ,,,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,0.00,
088110150624,HENNESSY VS 375ML,0-88110-15062-4,088110150624,22,COGNAC,1,Tax,1,General Assortment,0.00,14.76,19.99
080686326021,DEKUYPER CHERRY 750ML,0-80686-32602-1,1921715,13,BRANDY,1,Tax,1,General Assortment,0.00,8.76,11.99
088544014318,SOUTHERN COMFORT 750ML TRAV,05820399,08854401431,10,WHISKEY,1,Tax,1,General Assortment,0.00,10.77,14.99
028400091565,LAYS POTATO CHIPS 1.5OZ,2840009156,827493,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,0.47,0.99
818534010613,JESTER KING DAS WUNDERKING 750ML,1853401061,,6,BEER,1,Tax,4,No Sales >4 months,0.00,9.40,10.99
C10006,COCA-COLA REFRESHMENTS CASH,,,74,Vendor CASH,2,No Tax,3,Vendor,0.00,1.00,1.00
721733002306,PATRON CITRONGE MANGO 375ML,007547,10075471,11,LIQUEUR,1,Tax,1,General Assortment,0.00,5.00,7.99
084519960031,RED EYE TEXAS STYLE BLOODY MARY 1L,6209238,8451996003,5,MIXERS,1,Tax,4,No Sales >4 months,0.00,4.39,7.99
083120002949,FRANZIA ORANGE BLS 5L,8312000294,,12,WINE,1,Tax,5,Slow Seller - Old,0.00,0.00,13.99
087752017005,LOUIS ROYER V.S.O.P,007412,085662001992,22,COGNAC,1,Tax,4,No Sales >4 months,0.00,12.00,29.99
689674029403,PUNCH LONDON CLUB,8967402940,,33,CIGARS,1,Tax,1,General Assortment,0.00,2.68,6.99
08210073875,ARBOR MIST PINK MOSCATO RASPBERRY 750ML,,,12,WINE,1,Tax,4,No Sales >4 months,0.00,0.00,
085000019917,GALLO FAMILY PINK MOSCATO 1.5L,0-85000-01991-7,1418311,12,WINE,1,Tax,1,General Assortment,0.00,7.13,8.99
083120957072,Tribuno Extra dry750ml,083120957072,8312095707,51,VERMOUTH,1,Tax,4,No Sales >4 months,0.00,0.00,
089540520889,MALIBU SPICED 375ML,8954052088,,15,RUM,1,Tax,4,No Sales >4 months,0.00,0.00,
85976034075,MANISCHEWITZ CREAM WHITE CONCORD 750ML,,,12,WINE,1,Tax,4,No Sales >4 months,0.00,0.00,
751667186865,CUBAN ROUNDS CHURCHILL 3PK,5166718686,,33,CIGARS,1,Tax,4,No Sales >4 months,0.00,4.30,7.29
822760,STIRRINGS PEACH 750ML,08227605,832915,11,LIQUEUR,1,Tax,1,General Assortment,0.00,10.20,13.99
850832,SUTTER HOME BUBBLY MOSCATO 750ML,08508328,08520000083,12,WINE,1,Tax,4,No Sales >4 months,0.00,1.00,8.99
20103691307,DIAMOND 3500,,,67,ENHANCEMENT PILLS,1,Tax,4,No Sales >4 months,0.00,0.00,
823000,Q QREAM 375ML,,,11,LIQUEUR,1,Tax,4,No Sales >4 months,0.00,0.00,
018200258169,ESTRELLA JALISCO 24OZ,00018200258169,018200200878,6,BEER,1,Tax,1,General Assortment,0.00,2.10,2.99
080686500124,WINDSOR CANADIAN 1.75L,0-80686-50012-4,008811,43,CANADIAN WHISKEY,1,Tax,1,General Assortment,0.00,10.80,13.99
7751738002424,ANTAGONIC 750ML,300903,751738002424,17,GIN,1,Tax,1,General Assortment,0.00,6.25,17.99
850346005081,BELUGA TRANSATLANTIC RACING 750ML,01667396,166739,8,VODKA,1,Tax,4,No Sales >4 months,0.00,24.44,29.99
345551,MILLER GENUINE DRAFT 24OZ CAN,17346,,6,BEER,1,Tax,5,Slow Seller - Old,0.00,1.80,2.39
012000021367,OCEAN SPRAY CRANBERRY 15.2OZ,02136,1200002136,2,GROCERY,1,Tax,1,General Assortment,0.00,1.32,1.79
049483189000,HACKER PSCHORR OKTOBERFEST 6PK LNNR,4948318900,,6,BEER,1,Tax,4,No Sales >4 months,0.00,0.00,9.99
078000027662,SUNKIST LEMONADE 2L,008779,10087793,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,1.75,2.19
088474008159,FUNF SANGRIA 750ML,8847400815,,12,WINE,1,Tax,5,Slow Seller - Old,0.00,2.00,4.99
012300843942,CAMEL ROYAL 85 BOX .50c OFF,1230084394,374066,37,CIGARETTES,1,Tax,1,General Assortment,0.00,5.33,6.49
638478000873,TEQUIPONCH HERB 750ML,105482,3847800087,20,RTD,1,Tax,1,General Assortment,0.00,6.72,12.99
877358000491,AIKO BULL BRANDY 375ML,12000374,200037,13,BRANDY,1,Tax,4,No Sales >4 months,0.00,23.11,
CH20033,REDDY ICE CHECK,,,75,Vendor CHECK,2,No Tax,3,Vendor,0.00,1.00,1.00
089540125800,HIRAM WALKER CREME DE CASSIS 750,8954012580,,23,SCHNAPPS,1,Tax,4,No Sales >4 months,0.00,0.00,11.99
073705079053,FC FRILL PICKS 50 COUNT,2514000,7370507905,35,BAR ESSENTIALS,1,Tax,1,General Assortment,0.00,0.81,1.49
28400028073,LAYS SOUR CREAM & ONION 2.88OZ,,,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,0.00,
811538011877,TINCUP 750ML,1153801187,34715396,10,WHISKEY,1,Tax,1,General Assortment,0.00,20.24,24.99
813974000163,LUCKY NITES GOLD 750ML,1397400016,,11,LIQUEUR,1,Tax,4,No Sales >4 months,0.00,0.00,7.99
734300000254,FERES PEANUT PATTIE,00254,3430000025,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,0.56,0.99
085676102623,SKOL 100 PROOF VODKA 750ML,0-85676-10262-3,1718215,8,VODKA,1,Tax,4,No Sales >4 months,0.00,6.11,7.99
080480231033,DEWARS 12YRS 375ML,008407,10084071,16,SCOTCH,1,Tax,5,Slow Seller - Old,0.00,12.50,17.99
081434100108,DISENO MALBEC 750ML,08143410010,39958400,12,WINE,1,Tax,1,General Assortment,0.00,5.50,10.99
0811538015219,THREE OLIVES 1.75L,032027,70320276,8,VODKA,1,Tax,1,General Assortment,0.00,17.74,19.99
080480172022,CAZADORES BLANCO 750ML,0-80480-17202-2,01627396,18,TEQUILA,1,Tax,1,General Assortment,0.00,16.00,21.99
9780965774860,MYX MOSCATO AND MANGO,,,12,WINE,1,Tax,4,No Sales >4 months,0.00,0.00,
012546711500,CERTS PEPPERMINT,1254671150,,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,0.45,
082000756163,PARROT BAY RTD PINA COLADA 1.75L POUCH,8200075616,,20,RTD,1,Tax,4,No Sales >4 months,0.00,0.00,17.99
721733000906,PATRON ANEJO 1.75L,108146,1102192,18,TEQUILA,1,Tax,1,General Assortment,0.00,75.00,129.00
7106385100490,ARMAND DE BRIGNAC BRUT GREEN 750ML,822217,,14,CHAMPAGNE,1,Tax,4,No Sales >4 months,0.00,225.00,399.99
082000787884,SMIRNOFF RASP ROSE SELTZER 6 PK,00082000787884,31019,6,BEER,1,Tax,1,General Assortment,0.00,7.26,9.99
016600325405,ROSES LIGHT COSMOPOLITAN MIX 20OZ,1660032540,,5,MIXERS,1,Tax,4,No Sales >4 months,0.00,0.00,4.99
082000750055,SMIRNOFF ICE CRANBERRY LIME 6PK,8200075005,85770,20,RTD,1,Tax,1,General Assortment,0.00,6.79,9.99
018138101025,CHALONE CHARDONNAY 750ML,1813810102,906615,12,WINE,1,Tax,4,No Sales >4 months,0.00,16.50,22.99
034100015367,MILLER HIGH LIFE 8PK 7OZ,11236,3410001536,6,BEER,1,Tax,5,Slow Seller - Old,0.00,2.92,4.59
073705079305,FC SWORD PICKS 50CT,2514050,7370507930,35,BAR ESSENTIALS,1,Tax,4,No Sales >4 months,0.00,1.05,1.99
1170,CALERA CHARDONNAY,2220000000086,,12,WINE,1,Tax,4,No Sales >4 months,0.00,0.00,
811538011068,CUERVO GRAPEFRUIT TANG RTD 1.75L,1153801106,,20,RTD,1,Tax,1,General Assortment,0.00,0.00,19.99
680203019353,WILLETT POT STILL RESERVE 750ML,490133,8020301935,10,WHISKEY,1,Tax,1,General Assortment,0.00,37.00,59.99
898185001017,GRAHAMS TEXAS TEA 750ML,69370397,89818500101,8,VODKA,1,Tax,1,General Assortment,0.00,12.31,16.99
